aerobic capacity,NCT01125436
rhinitis allergic perennial and seasonal,"NCT01001130,NCT01622283"
kidney diseases,"NCT00284934,NCT01234441,NCT01256372,NCT01289548,NCT01339975,NCT01481311,NCT01529658,NCT01679587,NCT01722513"
aphthous stomatitis,NCT01293968
esophageal neoplasm,NCT01745107
cardiac surgery patients,NCT01231789
radiation exposure,NCT01334931
g6pd normal,NCT01668433
spinal surgery,NCT01251042
aggression,"NCT01228539,NCT01264900,NCT01337973,NCT01804582,NCT01459835,NCT01483521,NCT01551732,NCT01558193"
patients expectations,NCT01741883
lymphoproliferative disease,NCT01800643
wiskott aldrich syndrome,"NCT01289847,NCT01347242,NCT01347346,NCT01515462,NCT01652092"
locally advanced pancreatic cancer,"NCT01189539,NCT01795274"
rupture,NCT01317160
feeling anxious,NCT01675986
episodic memory consolidation,NCT01218425
anemia refractory with excess of blasts,NCT01163201
range of motion,NCT01241071
stage iii colon cancer,"NCT00005818,NCT00101348,NCT00138177,NCT01126346,NCT00079274"
tobacco use,"NCT01103427,NCT01228916,NCT01260233"
superficial basal cell carcinoma,"NCT00189306,NCT01325688,NCT01491711"
duct cell adenocarcinoma of the pancreas,"NCT00052689,NCT00031694,NCT01666730,NCT01671202,NCT01741597,NCT01770132,NCT01783171,NCT01825603,NCT00085371"
driving ability,NCT01318681
rheumatoid arthritis,"NCT00000416,NCT00048568,NCT00048581,NCT00048932,NCT00095147,NCT00106535,NCT00122382,NCT00147498,NCT01001832,NCT00162266,NCT00195650,NCT00195702,NCT00207714,NCT00243412,NCT00264147,NCT00264537,NCT00298272,NCT00356590,NCT00357903,NCT00409838,NCT00422227,NCT00487825,NCT00531817,NCT00538902,NCT00542789,NCT00547521,NCT00647270,NCT00674362,NCT00714493,NCT00717236,NCT00746512,NCT00764673,NCT00768053,NCT00847886,NCT01021735,NCT01090570,NCT01116141,NCT01120366,NCT01132118,NCT01172327,NCT01172639,NCT01179971,NCT01185301,NCT01197066,NCT01198509,NCT01205854,NCT01211249,NCT01231321,NCT01235598,NCT01242514,NCT01244958,NCT01245452,NCT01245790,NCT01274910,NCT01285310,NCT01287858,NCT01299961,NCT01301703,NCT01303874,NCT01305356,NCT01307787,NCT01311622,NCT01317797,NCT01329991,NCT01333878,NCT01351805,NCT01374971,NCT01378689,NCT01382160,NCT01389388,NCT01390545,NCT01394913,NCT01395251,NCT01400516,NCT01407419,NCT01408602,NCT01411046,NCT01442545,NCT01443364,NCT00124982,NCT01447264,NCT01450982,NCT01462240,NCT01463189,NCT01463566,NCT01478334,NCT01480440,NCT01480453,NCT01481493,NCT01500278,NCT01502423,NCT01506661,NCT01511003,NCT01521923,NCT01525147,NCT01525654,NCT01534871,NCT01546610,NCT01547091,NCT01557374,NCT01561313,NCT01564147,NCT01582880,NCT01583959,NCT01599260,NCT01600521,NCT01602302,NCT01609205,NCT01617590,NCT01618019,NCT01619176,NCT01635166,NCT01635582,NCT01640938,NCT01642706,NCT01679951,NCT01706926,NCT01806974,NCT01715896,NCT01717846,NCT01717859,NCT01721200,NCT01724268,NCT01741493,NCT01752335,NCT01767844,NCT01770106,NCT01770379,NCT01815411,NCT00160641,NCT00160693,NCT00175877,NCT00195494"
other specified congenital anomalies of heart,NCT01292551
brain health,NCT01334359
obsessive compulsive disorder,"NCT01807403,NCT01108393,NCT01135745,NCT01148316,NCT01172275,NCT01347099,NCT01348529,NCT01349231,NCT01371110,NCT01404871,NCT01411774,NCT01414023,NCT01522287,NCT01525576,NCT01555970,NCT01590862,NCT01596608,NCT01635569,NCT01649895,NCT01695291"
metastasis neoplasm,NCT00629148
social stress,NCT01488422
childhood high grade cerebellar astrocytoma,NCT02020720
orthoptic changes,NCT01279993
food intake,NCT01666574
adults growth hormone deficiency,NCT01804413
insulin sensitivity,"NCT01090869,NCT01107808,NCT01216956,NCT01274091,NCT01439854,NCT01738763,NCT01766557,NCT01791114,NCT01804738"
stiffness,NCT01629810
elevated risk of cardiovascular disease,NCT01408758
aortic aneurism,NCT01543555
low cardiovascular risk,NCT01796769
chemical injuries,NCT01582880
high grade glioma,"NCT01403610,NCT01808820"
deep vein thrombosis leg,NCT01347203
central nervous system malignancies,NCT01498783
deep venous thrombosis,"NCT01412242,NCT01542723,NCT01542762,NCT01573169,NCT01721928,NCT01828697"
idiopathic thrombocytopenic purpura,"NCT00116688,NCT00370331,NCT00454857,NCT00515203,NCT00603642"
pilonidal sinus,"NCT01337869,NCT01662765,NCT01792557"
secondary or recurrent hemorrhage as early complication of trauma,NCT01669577
healthy volunteers part 1,NCT01413932
sleep apnea obstructive,"NCT02050685,NCT00273754,NCT00620659,NCT01102920,NCT01181570,NCT01210261,NCT01226641,NCT01249924,NCT01315158,NCT01317329,NCT01344759,NCT01377584,NCT01428570,NCT01454830,NCT01460173,NCT01461473,NCT01554527,NCT01588275,NCT01633827,NCT01695980,NCT01699126,NCT01699139,NCT01712269,NCT01796925,NCT01817907,NCT01831583"
cytomegalovirus,NCT01162330
nausea and vomiting postoperative,"NCT01301404,NCT01449188"
feasibility,NCT01398059
jmml,NCT00176930
substance induced psychoses,NCT01075295
her2,NCT01152853
periodontitis,"NCT00662532,NCT00668746,NCT01094639,NCT01217281,NCT01229631,NCT01405365,NCT01503593,NCT01522131,NCT01538927,NCT01548469,NCT01598155,NCT01806974"
stress symptomatology,NCT01599598
candida infection,NCT01495039
bilharziasis,NCT01512277
basilar artery embolism,NCT01717755
caffeine withdrawal,NCT01376882
compensated alcohol related cirrhosis,NCT01640964
bipolar disorder,"NCT02276469,NCT01888627,NCT01685151,NCT00057681,NCT00110461,NCT00129220,NCT00132678,NCT00277212,NCT00391222,NCT00550407,NCT00552760,NCT00763230,NCT01003132,NCT01083823,NCT01133821,NCT01152034,NCT01172652,NCT01176825,NCT01182012,NCT01188265,NCT01191918,NCT01244815,NCT01263548,NCT01293825,NCT01331304,NCT00261443,NCT01372722,NCT01403662,NCT01431573,NCT01446406,NCT01804582,NCT00102518,NCT01457235,NCT01460290,NCT01467713,NCT01470781,NCT01476527,NCT01483391,NCT01487668,NCT01501812,NCT01507753,NCT01542229,NCT01550029,NCT01552837,NCT01557933,NCT01566370,NCT01602510,NCT01615367,NCT01620866,NCT01644747,NCT01670123,NCT01677182,NCT01683539,NCT01704352,NCT01719315,NCT01720316,NCT01721824,NCT01731171,NCT01736631,NCT01739127,NCT01749124,NCT01750255,NCT01764074,NCT01797575,NCT01799291,NCT01818622"
abdominal wound healing disorder,NCT01528033
diabetic nephropathy,"NCT00130312,NCT00421733,NCT01109212,NCT01129557,NCT01252056,NCT01328821,NCT00141453,NCT01476501,NCT01601236,NCT01667614,NCT01673204,NCT01726816,NCT01743014"
cardiovascular risk,NCT01103648
investigation or care in a nonpregnant woman,NCT01577316
schizophrenia and disorders with psychotic feature,NCT01668355
blepharoptosis,NCT01350024
urologic neoplasms,"NCT00374868,NCT01454089"
stage iii pancreatic cancer,"NCT00075647,NCT00026104,NCT00031694,NCT00088894,NCT00096070,NCT00101348,NCT00114179,NCT01770132,NCT01783171,NCT01825603,NCT00085371"
loss of weight,NCT01540019
chronic ankle instability,"NCT01196949,NCT01733433"
epstein barr virus,NCT01498484
overhydration,NCT01416753
metastatic or recurrent lesions in the spine,NCT01757717
nb vitamin deficiencies are recognized diseasesconditions,NCT01630720
metastatic pheochromocytoma,NCT01163383
other biomechanical lesions,NCT01121952
female contraception,NCT01286948
